"amazon link","i.s.b.n.","theatrical debut","title"
"B00275EHC8","","","The Invention of Lying"
"B001C08RHA","","2008-01-01 02:00:00 +1300","Iron Man"
"B00009W0U4","1589713419","2002-01-01 02:00:00 +1300","Irreversible"
"B000BO0LH2","","2005-07-22 02:00:00 +1200","The Island"
"B000A7LR6Y","1404991719","2004-01-01 02:00:00 +1300","It's All Gone Pete Tong"
"B000GBEWHK","","2002-10-25 03:00:00 +1300","Jackass - The Movie"
"B001TNDTKU","","","Jackass 2 : Unrated Widescreen Edition"
"B000ZOT8FO","","2006-09-22 02:00:00 +1200","Jackass 2.5"
"B000068DBD","0788830538","1997-12-25 02:00:00 +1300","Jackie Brown"
"B0008KLVG4","1417057769","1975-06-20 02:00:00 +1200","Jaws"
"B00003CY67","","2001-01-01 02:00:00 +1300","Jay and Silent Bob Strike Back"
"0800141741","0800141741","1996-12-13 02:00:00 +1300","Jerry Maguire"
"B00029LO5E","","2004-03-26 01:00:00 +1200","Jersey Girl"
"B000XNGFA8","","","John Safran vs God"
"B000YABYLA","","2207-12-14 03:00:00 +1300","Juno"
"B001CDR1F6","","2006-01-01 02:00:00 +1300","Kenny"
"B00004YA6G","1588170497","1995-07-28 02:00:00 +1200","Kids"
"B00005JMEW","","2003-10-10 03:00:00 +1300","Kill Bill - Volume One"
"B00005JMUA","0788855735","2004-04-16 02:00:00 +1200","Kill Bill - Volume Two"
"B000WCN8PA","","2007-01-01 02:00:00 +1300","King of California"
"B00006RCNV","","1983-02-18 00:00:00 +1300","The King of Comedy"
"B0007PALGG","","2004-01-01 02:00:00 +1300","Kinsey"
"B000F5GNX8","","2005-01-01 02:00:00 +1300","Kiss Kiss, Bang Bang"
"B000QGEB12","","2005-04-22 02:00:00 +1200","Kung Fu Hustle"
"B001CN2WXM","","1997-01-01 02:00:00 +1300","L.A. Confidential"
"B00000K3D4","0767821661","1986-06-27 02:00:00 +1200","Labyrinth"
"B00029LNYQ","","2004-03-26 01:00:00 +1200","The Ladykillers"
"B0000639HN","1588175405","2001-01-01 02:00:00 +1300","Lantana"
"B0014D5RBE","","2007-01-01 02:00:00 +1300","Lars and the Real Girl"
"B0009X7BDC","1404980024","2004-01-01 02:00:00 +1300","Layer Cake"
"B000ANDBSU","","2005-01-01 02:00:00 +1300","The League Of Gentlemen's Apocalypse"
"B0006GVJEE","1404972927","1994-11-18 02:00:00 +1300","Leon - The Professional"
"B001MYIXAC","","2008-01-01 02:00:00 +1300","Let The Right One In"
"B000M9CB4W","","2006-11-17 02:00:00 +1300","Let's Go to Prison"
"B00005JPKE","","2007-01-12 02:00:00 +1300","Letters from Iwo Jima"
"0783235070","0783235070","1997-03-21 01:00:00 +1200","Liar Liar"
"B00005JNLQ","0788858300","2004-12-25 02:00:00 +1300","The Life Aquatic with Steve Zissou - Criterion Collection"
